Bin,Period1,Period2,stdev3_period1,stdev3_period2,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor,numerator_markov
0.0,0.2,0.2,0.6228487971798297,0.6228487971798297,1.0,1.0,1.0,1.0,0.9999999999999999,0.38794062414836056,0.38794062414836056,0.38794062414836056,0.38794062414836056,0.3879406241483605
1.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.6635128635816445,0.719867264198733,0.8744498581787077,0.6952898855948008,0.7778230044390034,0.2574035944283292,0.2792657557772293,0.3392346237682933,0.2697311921816892,0.30174914181902
2.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.6130563168896656,0.6648620480144344,0.8432938922305517,0.6603283388305079,0.605008626234518,0.23782945021227198,0.257926997879277,0.32714795889242054,0.25616818790875734,0.23470742407656112
3.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.5678674381711665,0.6195874694715584,0.8152170815463058,0.6279674921782605,0.470589627369247,0.22029884839765287,0.24036314962129968,0.31625582343147884,0.24361410086051513,0.1825608337593701
4.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.5272863404729342,0.5820862175760046,0.7897670091757737,0.5979943523000528,0.36603543781817877,0.20455579202797505,0.22581489055459367,0.3063827064714337,0.23198630226847713,0.1420000162076027
5.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.49074195539249915,0.5508094828996437,0.7665642380029255,0.5702136757560015,0.28471078397488186,0.19037874047075307,0.21368137458292355,0.29738140894066734,0.2212090492707141,0.11045087923698474
6.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.4577397913473975,0.5245289372214323,0.745290056418524,0.5444464854524674,0.22145459738752674,0.17757586035284972,0.2034860832895587,0.28912828965856907,0.21121290938181156,0.08591123473104104
7.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.427851391566785,0.5022682905948599,0.7256763357309638,0.5205287111476556,0.17225248028679596,0.1659809358871632,0.19485027414330008,0.28151933061316536,0.20193423308976322,0.0668237347135628
8.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.40070525527640105,0.48324993827388785,0.7074971289247823,0.49830994363991227,0.13398194173874584,0.15544984683145519,0.18747228267362875,0.2744668777782532,0.19331467055500193,0.05197703810273834
9.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.37597901848489296,0.4668532667031962,0.6905617061112552,0.47765229313159085,0.10421423646380282,0.14585753509771737,0.181111347670539,0.26789693928175706,0.18530072872336503,0.0404289359389125
10.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.35339271912905107,0.4525819899286612,0.67470877599407,0.45842934305643046,0.08106023051159186,0.13709539202841037,0.1755749396512319,0.2617469436775159,0.17784336547323457,0.03144655641827693
11.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.33270299573657547,0.4400384978107495,0.6598016870083128,0.4405251913869819,0.06305051203704456,0.12906900782207645,0.17070880949000916,0.2559638782721461,0.17089761769974177,0.024459854992524788
12.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.3136980897675546,0.4289036622614876,0.6457244382148571,0.4238335721062738,0.04904213870407157,0.12169623273857358,0.16638915443723915,0.25050274158892116,0.16442226049793707,0.019025437898427994
13.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.29619353987326397,0.4189209026633141,0.6323783599646488,0.40825705013972796,0.03814610367091529,0.11490550672714635,0.16251643644800068,0.24532525566260246,0.1583794948441746,0.014798423266922945
14.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.28002847187061697,0.40988358323228613,0.6196793489523849,0.3937062836039899,0.029670916964953036,0.10863442015679879,0.1590104931072996,0.2403987934044379,0.1527346613924633,0.011510554046438063
15.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.2650624016233043,0.4016250233875465,0.6075555625112758,0.38009934774310355,0.02307872177813997,0.1028284735240081,0.15580666224656473,0.23569548412543267,0.14745597820184436,0.008953173731157981
16.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.25117247954817484,0.39401056230586107,0.5959454936426407,0.36736111539326144,0.017951160712084687,0.09744000848481027,0.15285270346198226,0.2311914667621289,0.14251430039349977,0.006963984490833663
17.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.2382511153875407,0.3869312422102156,0.5847963619681075,0.3554226892487848,0.013962825758241114,0.09242728640748563,0.15010634760553151,0.2268662656615982,0.13788289990366237,0.005416747339526864
18.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.22620393042842077,0.3802987702274619,0.5740627670646931,0.3442208815973394,0.010860607081733411,0.0877536939552139,0.14753334228489554,0.22270226815541197,0.13353726365177077,0.004213270689917764
19.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.21494799170075488,0.3740414924254167,0.5637055599261456,0.33369773755466986,0.0084476300303454,0.08338705805982748,0.14510589002890042,0.21868428675365,0.12945490858385444,0.0032771788665466282
20.0,0.2,0.2,0.6228487971798297,0.6228487971798297,0.20441028901395078,0.3681011709022865,0.5536908959420949,0.3238000981611287,0.00657076097059241,0.07929905510241884,0.14280139798957536,0.21479919175704126,0.1256152121799287,0.0025490651120613074
