Bin,Period1,Period2,stdev3_period1,stdev3_period2,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor,numerator_markov
0.0,0.02,0.02,0.5780249999924303,0.5780249999924303,1.0,1.0,1.0,1.0,1.0000492991951682,0.33411290061624904,0.33411290061624904,0.33411290061624904,0.33411290061624904,0.33412937211334476
1.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.6793551179842084,0.7544786493740491,0.8858649267127603,0.696070850373643,0.7123658054542938,0.22698130901819796,0.2520810499953935,0.2959789002182012,0.23256625085275695,0.23801060556016468
2.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.6272099642449803,0.6987105962865687,0.8587951592287594,0.6635907348788957,0.507440024395746,0.20955894044930423,0.23344822401661444,0.28693454168511423,0.22171422525245615,0.16954225843964285
3.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.5805459530765843,0.6524212713376966,0.8342491071521334,0.6329630327764221,0.361465101759824,0.19396789232344236,0.21798236339037866,0.27873338902711525,0.2114811148637883,0.12077015362052242
4.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.5386743740341766,0.6137989812817052,0.8118440707632738,0.6040761030827779,0.25748268466963137,0.179978057596201,0.20507815803132926,0.2712475773308207,0.2018296189939472,0.08602828663342953
5.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.5009993118538081,0.5813879999901794,0.79126126901183,0.5768251204409921,0.1834128179509074,0.16739033329022052,0.1942492310601986,0.2643705977348367,0.19272471413885708,0.061280588615777704
6.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.46700485241357814,0.5540168538539052,0.7722348236926216,0.5511116578276793,0.13065057882185574,0.1560323458417639,0.1851041780314168,0.2580136169008195,0.1841335145602357,0.0436520438573621
7.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.4362440652819309,0.5307414706548483,0.7545426765196299,0.5268432948256416,0.09306641671605967,0.14575477002797022,0.1773275722378252,0.25210244229072165,0.1760251414044168,0.031094690438963263
8.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.40832951562026754,0.5108000145406933,0.73799909596075,0.5039332498954623,0.06629406466064862,0.13642815887111556,0.17066487449301324,0.2465750186036157,0.16837059983954597,0.02214970223741048
9.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.3829250926348921,0.4935769308984668,0.7224484920751718,0.48230003517558534,0.047223296698301574,0.12794021341898965,0.16491042005975265,0.24137936123307085,0.16114266371983374,0.015777912636531274
10.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.3597389714060377,0.47857426653748847,0.7077603079415293,0.46186713243048405,0.03363860343261688,0.12019343120117713,0.15989783635313415,0.236471849427394,0.15431576731565824,0.011239091365551339
11.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.3385175504272362,0.4653887499874953,0.6938247975676358,0.4425626888511013,0.023961809530709068,0.11310308068275124,0.1554923851724924,0.23181581563480463,0.14786590367656793,0.008005949686319288
12.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.31904022914146934,0.453693442280457,0.6805495340616282,0.42431923149115114,0.0170687322717224,0.10659545637172907,0.15158483199089423,0.22738037883836737,0.14177052922076616,0.005702883649147349
13.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.301114908656172,0.4432230219392307,0.667856519655248,0.40707339919740304,0.012158581804531872,0.1006063755499105,0.14808652948001574,0.22313947897748782,0.13600847416956058,0.004062339034092091
14.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.28457411508312025,0.433761965551411,0.6556797919971634,0.39076569096204333,0.008660930943442354,0.09507988303072358,0.14492546848738744,0.21907107717963112,0.13055985846864107,0.0028937287595505513
15.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.26927165894809246,0.4251350398923746,0.643963439874566,0.3753402296908876,0.006169446898742586,0.08996713502489652,0.14204310133204603,0.21515649278730872,0.12540601285999162,0.0020612917985368077
16.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.2550797561644286,0.41719964276143157,0.632659956909762,0.36074454044287474,0.004394686354729955,0.08522543722058276,0.1393917827790848,0.2113798533068717,0.12052940478884464,0.0014683214052774753
17.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.2418865464357922,0.4098396249512858,0.6217288744176,0.34692934225415306,0.00313046995515691,0.08081741564970954,0.1369327058799497,0.20772763762853996,0.11591356884942249,0.0010459303970094943
18.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.22959395388028547,0.40296030081637696,0.6111356249931247,0.3338483527144019,0.0022299298173105455,0.07671030189489549,0.134634234938956,0.20418829633637708,0.1115430414913654,0.0007450483194322887
19.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.2181158423517504,0.3964844141667592,0.6008505969316892,0.32145810451403223,0.0015884474412345524,0.07287531675849983,0.13247055766639013,0.2007519357778514,0.10740329972578463,0.0005307207820673351
20.0,0.02,0.02,0.5780249999924303,0.5780249999924303,0.20737642454776326,0.3903488731174005,0.590848346597758,0.30971777322879085,0.0011314998588644897,0.0692871387250799,0.13042059424953886,0.19741005490609176,0.10348070358587695,0.0003780486998920911
