Period1,Period2,stdev3_period1,stdev3_period2
0.02,0.02,0.5780249999924303,0.5780249999924303
0.02,0.04,0.5780249999924303,0.5858508685864697
0.02,0.06,0.5780249999924303,0.5962301469224411
0.02,0.08,0.5780249999924303,0.6086321669116456
0.02,0.1,0.5780249999924303,0.6182519209695727
0.02,0.12,0.5780249999924303,0.6221874230655553
0.02,0.14,0.5780249999924303,0.6255148426764077
0.02,0.16,0.5780249999924303,0.6260718914150546
0.02,0.18,0.5780249999924303,0.6243706286136177
0.02,0.2,0.5780249999924303,0.6228487971798297
0.04,0.02,0.5858508685864697,0.5780249999924303
0.04,0.04,0.5858508685864697,0.5858508685864697
0.04,0.06,0.5858508685864697,0.5962301469224411
0.04,0.08,0.5858508685864697,0.6086321669116456
0.04,0.1,0.5858508685864697,0.6182519209695727
0.04,0.12,0.5858508685864697,0.6221874230655553
0.04,0.14,0.5858508685864697,0.6255148426764077
0.04,0.16,0.5858508685864697,0.6260718914150546
0.04,0.18,0.5858508685864697,0.6243706286136177
0.04,0.2,0.5858508685864697,0.6228487971798297
0.06,0.02,0.5962301469224411,0.5780249999924303
0.06,0.04,0.5962301469224411,0.5858508685864697
0.06,0.06,0.5962301469224411,0.5962301469224411
0.06,0.08,0.5962301469224411,0.6086321669116456
0.06,0.1,0.5962301469224411,0.6182519209695727
0.06,0.12,0.5962301469224411,0.6221874230655553
0.06,0.14,0.5962301469224411,0.6255148426764077
0.06,0.16,0.5962301469224411,0.6260718914150546
0.06,0.18,0.5962301469224411,0.6243706286136177
0.06,0.2,0.5962301469224411,0.6228487971798297
0.08,0.02,0.6086321669116456,0.5780249999924303
0.08,0.04,0.6086321669116456,0.5858508685864697
0.08,0.06,0.6086321669116456,0.5962301469224411
0.08,0.08,0.6086321669116456,0.6086321669116456
0.08,0.1,0.6086321669116456,0.6182519209695727
0.08,0.12,0.6086321669116456,0.6221874230655553
0.08,0.14,0.6086321669116456,0.6255148426764077
0.08,0.16,0.6086321669116456,0.6260718914150546
0.08,0.18,0.6086321669116456,0.6243706286136177
0.08,0.2,0.6086321669116456,0.6228487971798297
0.1,0.02,0.6182519209695727,0.5780249999924303
0.1,0.04,0.6182519209695727,0.5858508685864697
0.1,0.06,0.6182519209695727,0.5962301469224411
0.1,0.08,0.6182519209695727,0.6086321669116456
0.1,0.1,0.6182519209695727,0.6182519209695727
0.1,0.12,0.6182519209695727,0.6221874230655553
0.1,0.14,0.6182519209695727,0.6255148426764077
0.1,0.16,0.6182519209695727,0.6260718914150546
0.1,0.18,0.6182519209695727,0.6243706286136177
0.1,0.2,0.6182519209695727,0.6228487971798297
0.12,0.02,0.6221874230655553,0.5780249999924303
0.12,0.04,0.6221874230655553,0.5858508685864697
0.12,0.06,0.6221874230655553,0.5962301469224411
0.12,0.08,0.6221874230655553,0.6086321669116456
0.12,0.1,0.6221874230655553,0.6182519209695727
0.12,0.12,0.6221874230655553,0.6221874230655553
0.12,0.14,0.6221874230655553,0.6255148426764077
0.12,0.16,0.6221874230655553,0.6260718914150546
0.12,0.18,0.6221874230655553,0.6243706286136177
0.12,0.2,0.6221874230655553,0.6228487971798297
0.14,0.02,0.6255148426764077,0.5780249999924303
0.14,0.04,0.6255148426764077,0.5858508685864697
0.14,0.06,0.6255148426764077,0.5962301469224411
0.14,0.08,0.6255148426764077,0.6086321669116456
0.14,0.1,0.6255148426764077,0.6182519209695727
0.14,0.12,0.6255148426764077,0.6221874230655553
0.14,0.14,0.6255148426764077,0.6255148426764077
0.14,0.16,0.6255148426764077,0.6260718914150546
0.14,0.18,0.6255148426764077,0.6243706286136177
0.14,0.2,0.6255148426764077,0.6228487971798297
0.16,0.02,0.6260718914150546,0.5780249999924303
0.16,0.04,0.6260718914150546,0.5858508685864697
0.16,0.06,0.6260718914150546,0.5962301469224411
0.16,0.08,0.6260718914150546,0.6086321669116456
0.16,0.1,0.6260718914150546,0.6182519209695727
0.16,0.12,0.6260718914150546,0.6221874230655553
0.16,0.14,0.6260718914150546,0.6255148426764077
0.16,0.16,0.6260718914150546,0.6260718914150546
0.16,0.18,0.6260718914150546,0.6243706286136177
0.16,0.2,0.6260718914150546,0.6228487971798297
0.18,0.02,0.6243706286136177,0.5780249999924303
0.18,0.04,0.6243706286136177,0.5858508685864697
0.18,0.06,0.6243706286136177,0.5962301469224411
0.18,0.08,0.6243706286136177,0.6086321669116456
0.18,0.1,0.6243706286136177,0.6182519209695727
0.18,0.12,0.6243706286136177,0.6221874230655553
0.18,0.14,0.6243706286136177,0.6255148426764077
0.18,0.16,0.6243706286136177,0.6260718914150546
0.18,0.18,0.6243706286136177,0.6243706286136177
0.18,0.2,0.6243706286136177,0.6228487971798297
0.2,0.02,0.6228487971798297,0.5780249999924303
0.2,0.04,0.6228487971798297,0.5858508685864697
0.2,0.06,0.6228487971798297,0.5962301469224411
0.2,0.08,0.6228487971798297,0.6086321669116456
0.2,0.1,0.6228487971798297,0.6182519209695727
0.2,0.12,0.6228487971798297,0.6221874230655553
0.2,0.14,0.6228487971798297,0.6255148426764077
0.2,0.16,0.6228487971798297,0.6260718914150546
0.2,0.18,0.6228487971798297,0.6243706286136177
0.2,0.2,0.6228487971798297,0.6228487971798297
