RSN,EQID,Period,Mean,Stdev1,Stdev2,Stdev3
51,30,0.2,0.1461072447280813,0.6859183258147968,0.28730363087173655,0.6228487971798297
51,30,0.4,0.13017498697931645,0.6699322612761806,0.2578796395967434,0.6183100441281995
51,30,0.6000000000000001,0.10432100910803775,0.6637813625744702,0.25602031612213727,0.6124208711962675
51,30,0.8,0.08544970027242199,0.6462240513262006,0.2585822470234134,0.5922336757316922
51,30,1.0,0.06688785586667853,0.642139441207028,0.26688637886726035,0.5840502506600111
51,30,1.2,0.05089669419501454,0.6443433176680152,0.2797759269833586,0.5804341255513991
51,30,1.4000000000000001,0.04076986501997981,0.6361826066051954,0.28211325682420346,0.5702108658259293
51,30,1.6,0.03338650401517266,0.6282062783249329,0.2836496039252547,0.5605096690028082
51,30,1.8,0.02814409448948597,0.6193125480097563,0.2813006576661759,0.551739933602736
51,30,2.0,0.024280560458601313,0.6095939034952205,0.27568508938290476,0.5436933584385933
52,30,0.2,0.01799622842132864,0.6859183258147968,0.28730363087173655,0.6228487971798297
52,30,0.4,0.019364067489349254,0.6699322612761806,0.2578796395967434,0.6183100441281995
52,30,0.6000000000000001,0.017417249537619497,0.6637813625744702,0.25602031612213727,0.6124208711962675
52,30,0.8,0.015345409116817157,0.6462240513262006,0.2585822470234134,0.5922336757316922
52,30,1.0,0.012615277023593087,0.642139441207028,0.26688637886726035,0.5840502506600111
52,30,1.2,0.010334288561056504,0.6443433176680152,0.2797759269833586,0.5804341255513991
52,30,1.4000000000000001,0.008850661629000374,0.6361826066051954,0.28211325682420346,0.5702108658259293
52,30,1.6,0.00746938072297367,0.6282062783249329,0.2836496039252547,0.5605096690028082
52,30,1.8,0.006461042363659941,0.6193125480097563,0.2813006576661759,0.551739933602736
52,30,2.0,0.005700042184597379,0.6095939034952205,0.27568508938290476,0.5436933584385933
53,30,0.2,0.041303494581293995,0.6859183258147968,0.28730363087173655,0.6228487971798297
53,30,0.4,0.050139022060226225,0.6699322612761806,0.2578796395967434,0.6183100441281995
53,30,0.6000000000000001,0.04919669365335531,0.6637813625744702,0.25602031612213727,0.6124208711962675
