RSN,EQID,Period,Mean,Stdev1,Stdev2,Stdev3
51,30,0.020000000000000004,0.06975130398319856,0.633427074781898,0.25906859746133226,0.5780249999924303
51,30,0.04000000000000001,0.07312511539393032,0.6417482249535643,0.2619529399269036,0.5858508685864697
51,30,0.060000000000000005,0.08117576781142934,0.6553161976178672,0.2718167924314017,0.5962301469224411
51,30,0.08,0.09344980816553877,0.672498018330203,0.2859156523576412,0.6086321669116456
51,30,0.1,0.10423452639794764,0.6858252738630874,0.29685157772348064,0.6182519209695727
51,30,0.12000000000000001,0.11481804984667413,0.6911357532087152,0.30091002858183336,0.6221874230655553
51,30,0.14,0.12460040390592295,0.6956256995196841,0.3043413998900962,0.6255148426764077
51,30,0.16000000000000003,0.1328496701377807,0.6950066818862297,0.3017103878447796,0.6260718914150546
51,30,0.18,0.13969022789354332,0.6902095270461502,0.29410599345267185,0.6243706286136177
51,30,0.2,0.1461072447280813,0.6859183258147968,0.28730363087173655,0.6228487971798297
52,30,0.020000000000000004,0.008942998613001346,0.633427074781898,0.25906859746133226,0.5780249999924303
52,30,0.04000000000000001,0.00903534595568352,0.6417482249535643,0.2619529399269036,0.5858508685864697
52,30,0.060000000000000005,0.009675680191740055,0.6553161976178672,0.2718167924314017,0.5962301469224411
52,30,0.08,0.010723491692330868,0.672498018330203,0.2859156523576412,0.6086321669116456
52,30,0.1,0.011613766953776937,0.6858252738630874,0.29685157772348064,0.6182519209695727
52,30,0.12000000000000001,0.012920534122963815,0.6911357532087152,0.30091002858183336,0.6221874230655553
52,30,0.14,0.014139458664638224,0.6956256995196841,0.3043413998900962,0.6255148426764077
52,30,0.16000000000000003,0.015400124067040824,0.6950066818862297,0.3017103878447796,0.6260718914150546
52,30,0.18,0.016719993972771543,0.6902095270461502,0.29410599345267185,0.6243706286136177
52,30,0.2,0.01799622842132864,0.6859183258147968,0.28730363087173655,0.6228487971798297
53,30,0.020000000000000004,0.020640126059579753,0.633427074781898,0.25906859746133226,0.5780249999924303
53,30,0.04000000000000001,0.020372139456221953,0.6417482249535643,0.2619529399269036,0.5858508685864697
53,30,0.060000000000000005,0.021402462447155848,0.6553161976178672,0.2718167924314017,0.5962301469224411
53,30,0.08,0.02328929075177134,0.672498018330203,0.2859156523576412,0.6086321669116456
53,30,0.1,0.024866644850205018,0.6858252738630874,0.29685157772348064,0.6182519209695727
53,30,0.12000000000000001,0.028151747487898168,0.6911357532087152,0.30091002858183336,0.6221874230655553
53,30,0.14,0.03126562783677036,0.6956256995196841,0.3043413998900962,0.6255148426764077
53,30,0.16000000000000003,0.034515287212827456,0.6950066818862297,0.3017103878447796,0.6260718914150546
53,30,0.18,0.03794631504188612,0.6902095270461502,0.29410599345267185,0.6243706286136177
53,30,0.2,0.041303494581293995,0.6859183258147968,0.28730363087173655,0.6228487971798297
54,30,0.020000000000000004,0.005420076972673111,0.633427074781898,0.25906859746133226,0.5780249999924303
54,30,0.04000000000000001,0.005417282207119444,0.6417482249535643,0.2619529399269036,0.5858508685864697
54,30,0.060000000000000005,0.005707340768512791,0.6553161976178672,0.2718167924314017,0.5962301469224411
54,30,0.08,0.006198553172014479,0.672498018330203,0.2859156523576412,0.6086321669116456
54,30,0.1,0.006608498781331998,0.6858252738630874,0.29685157772348064,0.6182519209695727
54,30,0.12000000000000001,0.007334402069319776,0.6911357532087152,0.30091002858183336,0.6221874230655553
54,30,0.14,0.00801001086619578,0.6956256995196841,0.3043413998900962,0.6255148426764077
54,30,0.16000000000000003,0.008761714338853786,0.6950066818862297,0.3017103878447796,0.6260718914150546
54,30,0.18,0.009603417123679167,0.6902095270461502,0.29410599345267185,0.6243706286136177
54,30,0.2,0.010424636926736511,0.6859183258147968,0.28730363087173655,0.6228487971798297
55,30,0.020000000000000004,0.01674701942316738,0.633427074781898,0.25906859746133226,0.5780249999924303
55,30,0.04000000000000001,0.01683080869227125,0.6417482249535643,0.2619529399269036,0.5858508685864697
55,30,0.060000000000000005,0.017848568972062447,0.6553161976178672,0.2718167924314017,0.5962301469224411
55,30,0.08,0.01953151481738854,0.672498018330203,0.2859156523576412,0.6086321669116456
55,30,0.1,0.02094543924986061,0.6858252738630874,0.29685157772348064,0.6182519209695727
55,30,0.12000000000000001,0.02343447582582706,0.6911357532087152,0.30091002858183336,0.6221874230655553
55,30,0.14,0.025768320650398302,0.6956256995196841,0.3043413998900962,0.6255148426764077
55,30,0.16000000000000003,0.028067056528161497,0.6950066818862297,0.3017103878447796,0.6260718914150546
55,30,0.18,0.030356117607908607,0.6902095270461502,0.29410599345267185,0.6243706286136177
55,30,0.2,0.032561500873071,0.6859183258147968,0.28730363087173655,0.6228487971798297
56,30,0.020000000000000004,0.06316943409474973,0.633427074781898,0.25906859746133226,0.5780249999924303
56,30,0.04000000000000001,0.06490283207194016,0.6417482249535643,0.2619529399269036,0.5858508685864697
