Bin,numerator_loth,numerator_markhvida,numerator_DuNing,numerator_vitor
0.0,0.29410674100304385,0.3348503806389696,0.320385035149192,0.3095630534221857
1.0,0.24460595180730269,0.26857002766528343,0.2915843423904572,0.22154889419980747
2.0,0.23075540216289717,0.2526344982567321,0.2847319144941311,0.2156589031826292
3.0,0.21833653662711716,0.23955807616087463,0.2785008245895098,0.2100367974120469
4.0,0.20717080767072016,0.22875245334898295,0.27279763351548836,0.20466920304176586
5.0,0.19710366228301004,0.21975524071145972,0.26754441108791666,0.19954342545209577
6.0,0.18800123646512557,0.2122021295002012,0.26267608138059734,0.19464741623376125
7.0,0.17974750861281008,0.20580539868504502,0.2581382306766366,0.1899697415534308
8.0,0.17224184793367583,0.20033728105763834,0.25388529646132674,0.18549955186957098
9.0,0.16539690293575368,0.19561705779848274,0.24987907035121854,0.18122655296450416
10.0,0.15913678267745712,0.19150102078570597,0.2460874597785822,0.17714097825640063
11.0,0.15339549005648756,0.18787464586034733,0.2424834630429524,0.17323356235329992
12.0,0.14811557208513831,0.1846464748134031,0.23904432038470513,0.16949551581005864
13.0,0.14324695697970877,0.1817433211953016,0.23575081034350226,0.16591850104831654
14.0,0.13874595209231047,0.17910650429923028,0.23258666609433307,0.1624946093990963
15.0,0.13457438032890273,0.176688883693119,0.22953809091686989,0.15921633922746656
16.0,0.13069883580941982,0.17445251862756742,0.22659335562304822,0.1560765750987599
17.0,0.12709004220448342,0.17236681641117568,0.22374246378520218,0.15306856794610826
18.0,0.12372229948879085,0.1704070643481385,0.22097687308922684,0.15018591619951022
19.0,0.12057300683579503,0.16855326328632042,0.21828926317969638,0.14742254783724626
20.0,0.11762225108646224,0.16678919889944194,0.2156733420450767,0.1447727033211842
21.0,0.1148524516952002,0.1651017007913157,0.21312368437551618,0.14223091937834773
22.0,0.11224805432162219,0.1634800503248075,0.2106355964660224,0.13979201359203364
23.0,0.10979526632616628,0.1619155064745189,0.2082050031775218,0.13745106976674443
24.0,0.107481828365267,0.16040092553720214,0.2058283532429829,0.1352034240322328
25.0,0.10529681708890333,0.1589304556329608,0.2035025398447175,0.13304465165302573
26.0,0.10323047463810482,0.15749929091881076,0.20122483391619952,0.13097055451089157
27.0,0.1012740612380355,0.15610347356374693,0.19899282805700452,0.12897714922882705
28.0,0.09941972769706535,0.1547397339928973,0.19680438930900512,0.12706065590626403
29.0,0.09766040506537113,0.153405361845433,0.1946576193391045,0.1252174874363177
30.0,0.0959897090880668,0.15209810162076537,0.1925508208195204,0.12344423937701716
31.0,0.09440185741623137,0.15081606819855753,0.19048246899996915,0.1217376803495656
32.0,0.09289159782187742,0.14955767837877196,0.18845118763447105,0.12009474293777035
33.0,0.09145414590624533,0.14832159535172562,0.18645572856501008,0.11851251506385657
34.0,0.09008513100029637,0.14710668361653376,0.18449495437996893,0.11698823181692926
35.0,0.08878054913662357,0.14591197235193204,0.1825678236612604,0.11551926771137641
36.0,0.08753672212726324,0.14473662563177958,0.18067337841380968,0.11410312935350568
37.0,0.08635026191556072,0.14357991818859941,0.17881073333731717,0.11273744849568036
38.0,0.08521803948533227,0.14244121567809465,0.17697906665536675,0.11141997545816253
39.0,0.08413715770965245,0.14131995859814936,0.175177612262862,0.11014857289978534
40.0,0.08310492760691524,0.14021564917724458,0.17340565299104127,0.10892120991945761
41.0,0.08211884754528105,0.13912784067731096,0.17166251482125547,0.10773595647135509
42.0,0.08117658499988199,0.138056128661018,0.16994756190536162,0.10659097807747318
43.0,0.0802759605216332,0.13700014385831202,0.16826019227288527,0.10548453082200401
44.0,0.07941493362341337,0.1359595463356137,0.16659983412377105,0.10441495661275821
45.0,0.07859159032978193,0.13493402072662636,0.1649659426211824,0.10338067869558001
46.0,0.07780413217120213,0.13392327232871656,0.16335799711193671,0.10238019740840051
47.0,0.07705086643371599,0.13292702390533953,0.16177549871318767,0.10141208616224225
48.0,0.0763301975008411,0.13194501306461975,0.1602179682132375,0.10047498763712664
49.0,0.07564061914670726,0.1309769901082757,0.15868494424217436,0.09956761018144744
50.0,0.07498070765862079,0.13002271626465306,0.1571759816746137,0.09868872440395597
