Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov
0.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999996
1.0,0.7885374105990409,0.7588326159067236,0.88938381183067,0.6473000426114195,0.8882299051273302
2.0,0.7293692005559472,0.7008496727089474,0.8630653666478922,0.623697026924715,0.7894842539221728
3.0,0.6763170067164939,0.6532698640828606,0.8391333237917166,0.6011675102737816,0.7021547044548058
4.0,0.6286180912844118,0.6139525751710597,0.8172288070394842,0.5796578995201975,0.6248470535325332
5.0,0.5856122187286616,0.5812153591097047,0.7970525062327138,0.5591173233966192,0.5563500960281893
6.0,0.5467275349780927,0.5537326437821629,0.7783544811717765,0.5394975002006985,0.49560944498255205
7.0,0.5114684069476327,0.5304575287861318,0.7609257425105718,0.5207526110259725,0.4417054540702404
8.0,0.4794049496136787,0.5105612614165309,0.7445912961354989,0.502839178403925,0.3938345428652758
9.0,0.45016400584116445,0.49338627901716503,0.7292043932940662,0.4857159502204834,0.35129335328105915
10.0,0.4234213768591059,0.47840968588410554,0.7146417745376,0.46934378876160776,0.3134652688241077
11.0,0.3988951294221603,0.4652147749451521,0.7007997331530518,0.4536855647360731,0.2798089118360009
12.0,0.3763398299171125,0.45346876678634995,0.6875908546509721,0.43870605611875363,0.24984830162995827
13.0,0.3555415765211981,0.44290536553264154,0.6749413142559837,0.4243718516544794,0.2231644114793877
14.0,0.33631371846358343,0.4333110558371133,0.6627886352008987,0.41065125886063214,0.19938790727143182
15.0,0.31849316688663987,0.4245143127428613,0.6510798277668716,0.3975142163659047,0.17819288728123917
16.0,0.3019372150979145,0.4163770852155608,0.639769843104386,0.38493221042289455,0.15929147253542475
17.0,0.2865207974465545,0.408788058830556,0.6288202874590644,0.3728781954332807,0.14242912188219484
18.0,0.27213412590722796,0.40165731408781574,0.6181983519595239,0.36132651832616447,0.1273805661855799
19.0,0.25868065193228773,0.39491208216538615,0.6078759209691024,0.35025284663253514,0.11394627282650316
20.0,0.24607530843006,0.38849336569107135,0.5978288284603481,0.3396341001017629,0.10194936557901477
21.0,0.23424299300815044,0.38235324292255324,0.588036237188114,0.3294483857093283,0.09123293646366598
22.0,0.22311725902705984,0.3764527130766019,0.5784801198167732,0.3196749359086622,0.0816576957877782
23.0,0.21263918566302312,0.3707599710988529,0.5691448247661931,0.3102940499839048,0.07309991460903194
24.0,0.2027564021846472,0.3652490239438905,0.5600167125164679,0.30128703836451404,0.06544962058395797
25.0,0.1934222450958969,0.3598985789887384,0.551083850565387,0.29263616976694873,0.058609013813718754
26.0,0.18459502976591247,0.3546911497154632,0.5423357572575642,0.2843246210330433,0.052491074061167396
27.0,0.1762374207209039,0.34961233517857665,0.5337631863758836,0.2763364295391506,0.04701833473669636
28.0,0.1683158869725017,0.3446502387181541,0.5253579457667897,0.26865644805463046,0.0421218024595876
29.0,0.1608002306499602,0.3397949984278881,0.5171127444122227,0.26127030193276024,0.03774000389801551
30.0,0.15366317883315952,0.3350384074538258,0.5090210633047777,0.2541643485216226,0.03381814405809482
31.0,0.14688002988611473,0.33037360660587684,0.5010770462636434,0.2473256386869641,0.03030736229937912
32.0,0.14042834679825816,0.32579483525974673,0.49327540747554005,0.2407418803433978,0.027164074157999683
33.0,0.1342876910802866,0.3212972293059401,0.4856113530807117,0.2344014038946209,0.024349388606549567
34.0,0.12843939165629698,0.3168766571162178,0.4780805145683533,0.22829312948753291,0.021828591711160722
35.0,0.12286634396433224,0.3125295862648428,0.47067889211457037,0.2224065359892666,0.01957068879385832
36.0,0.11755283514074301,0.3082529751548461,0.46340280630219194,0.216731631600129,0.017547998199598777
37.0,0.11248439173480625,0.30404418483135853,0.45624885691632233,0.21125892601937796,0.01573579062546875
38.0,0.10764764689166458,0.2999009071721717,0.4492138877212609,0.20597940408451426,0.014111968713643399
39.0,0.10303022436496993,0.29582110637548875,0.4422949563007891,0.20088450080843598,0.012656782256207097
40.0,0.09862063708507247,0.2918029712521758,0.435489308190791,0.19596607774234553,0.011352574922610761
41.0,0.0944081983224241,0.2878448763031704,0.4287943546558387,0.19121640059569242,0.010183558911046383
42.0,0.0903829437561241,0.28394534994468373,0.42220765356377843,0.18662811804773716,0.009135614353292253
43.0,0.08653556299022788,0.28010304855241497,0.4157268928980263,0.18219424168847204,0.008196110677078707
44.0,0.08285733926087527,0.27631673524562367,0.4093498765189604,0.1779081270296729,0.0073537474579338045
45.0,0.07934009624988526,0.2725852625339689,0.4030745118458729,0.17376345552977232,0.00659841257998381
