Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor,Correlation_markov
0.0,0.9999999999999997,1.0,0.9999999999999996,0.9999999999999999,1.0
1.0,0.6752088249864018,0.7589910269160074,0.8841381292973632,0.7259991456382119,0.7593002926659768
2.0,0.6236604225418102,0.7019803932015197,0.8545733861552164,0.6959049187504958,0.5767940815512199
3.0,0.577509234257608,0.6549733101414401,0.8276992791753073,0.6676688539432402,0.43834715135846514
4.0,0.5360782740482375,0.6159693049617857,0.8031417013248945,0.6411608161408883,0.3332746312459936
5.0,0.49878171648128794,0.5833828013738722,0.7805844619336647,0.6162600805593976,0.2534950712901467
6.0,0.4651123304748154,0.5559543090239145,0.7597598623162749,0.592854645092035,0.1928930203147912
7.0,0.4346306578574768,0.5326812379333598,0.7404408587305328,0.5708405932094431,0.14683844991177386
8.0,0.40695569397770526,0.5127638665388216,0.7224345386538726,0.5501215036501581,0.11182423356794767
9.0,0.38175686136044934,0.4955630393543682,0.7055766844742365,0.5306079034528398,0.0851925333823587
10.0,0.3587470965129273,0.48056696643176416,0.6897272382604561,0.5122167611362147,0.06492818042536046
11.0,0.33767689503036413,0.46736510314499863,0.6747665138304617,0.49487101706866526,0.04950256381700754
12.0,0.31832918171335406,0.4556275515679818,0.6605920291269823,0.47849914828785856,0.03775562063133118
13.0,0.3005148909663263,0.4450887786136426,0.6471158539685093,0.4630347652331432,0.028806582222655752
14.0,0.2840691587197721,0.4355347173584918,0.6342623864121577,0.44841623804080555,0.021986435801272634
15.0,0.2688480408675026,0.4267925263626678,0.6219664859372243,0.4345863502257848,0.01678679271232387
16.0,0.25472568504403437,0.4187224422585883,0.6101719040022129,0.42149197773413655,0.012821158988253296
17.0,0.24159189275298418,0.4112112847389481,0.5988299627104985,0.4090837914993251,0.009795585876084466
18.0,0.22935001762462615,0.40416726891101484,0.587898440723844,0.39731598177323935,0.007486418091295489
19.0,0.21791515312710696,0.3975158543220238,0.5773406325033487,0.38614600263042226,0.00572341549299241
20.0,0.20721256955126555,0.3911964177663441,0.567124552692652,0.37553433516218676,0.004376944748808655
21.0,0.197176365679963,0.3851595820480501,0.5572222622007524,0.36544426798672935,0.003348255204996752
22.0,0.187748305365237,0.3793650680893291,0.5476092964662724,0.35584169380269626,0.002562093041543795
23.0,0.1788768133789195,0.37377996536547636,0.5382641796349373,0.346694920807508,0.0019610890145195406
24.0,0.1705161084679088,0.36837733731554745,0.5291680110755725,0.33797449788867767,0.0015014920750458696
25.0,0.16262545461439473,0.36313509543622957,0.5203041128941492,0.32965305257682886,0.001149924756016048
26.0,0.15516851414315663,0.35803508922750615,0.511657728960342,0.32170514082368146,0.0008809146094179175
27.0,0.14811278859208174,0.35306236980531136,0.5032157675025153,0.3141071077372925,0.000675015322357903
28.0,0.1414291352195095,0.3482045934357906,0.49496658060927057,0.3068369584707785,0.000517376087996272
29.0,0.13509134870699877,0.34345153794996247,0.4868997750433781,0.2998742385199501,0.0003966518674963373
30.0,0.12907579906656316,0.3387947103342968,0.4790060496639177,0.29319992274012296,0.000304173000391405
